1,ovf,ovf,Sat Jun  1 10:07:16 2019
2,13483630,ovf,Sat Jun  1 10:07:17 2019
3,13478178,ovf,Sat Jun  1 10:07:18 2019
4,13477452,ovf,Sat Jun  1 10:07:19 2019
5,13478542,ovf,Sat Jun  1 10:07:20 2019
6,13477816,ovf,Sat Jun  1 10:07:21 2019
7,13476726,ovf,Sat Jun  1 10:07:22 2019
8,13477452,ovf,Sat Jun  1 10:07:23 2019
9,13477088,ovf,Sat Jun  1 10:07:24 2019
10,13478178,ovf,Sat Jun  1 10:07:25 2019
11,13476726,ovf,Sat Jun  1 10:07:26 2019
12,13487632,ovf,Sat Jun  1 10:07:27 2019
13,13487996,ovf,Sat Jun  1 10:07:28 2019
14,13487632,ovf,Sat Jun  1 10:07:29 2019
15,13487268,ovf,Sat Jun  1 10:07:30 2019
16,13487268,ovf,Sat Jun  1 10:07:31 2019
17,13486904,ovf,Sat Jun  1 10:07:32 2019
18,13487632,ovf,Sat Jun  1 10:07:33 2019
19,13488724,ovf,Sat Jun  1 10:07:34 2019
20,13487996,ovf,Sat Jun  1 10:07:35 2019
21,13487996,ovf,Sat Jun  1 10:07:36 2019
22,13476000,ovf,Sat Jun  1 10:07:37 2019
23,13475272,ovf,Sat Jun  1 10:07:38 2019
24,13474184,ovf,Sat Jun  1 10:07:39 2019
25,13474184,ovf,Sat Jun  1 10:07:40 2019
26,13475272,ovf,Sat Jun  1 10:07:41 2019
27,13475636,ovf,Sat Jun  1 10:07:42 2019
28,13474546,ovf,Sat Jun  1 10:07:43 2019
29,13475272,ovf,Sat Jun  1 10:07:44 2019
30,13474546,ovf,Sat Jun  1 10:07:45 2019
31,13474910,ovf,Sat Jun  1 10:07:46 2019
32,13486904,ovf,Sat Jun  1 10:07:47 2019
33,13486176,ovf,Sat Jun  1 10:07:48 2019
34,13486904,ovf,Sat Jun  1 10:07:49 2019
35,13487632,ovf,Sat Jun  1 10:07:50 2019
36,13486904,ovf,Sat Jun  1 10:07:51 2019
37,13486904,ovf,Sat Jun  1 10:07:52 2019
38,13487268,ovf,Sat Jun  1 10:07:53 2019
39,13486540,ovf,Sat Jun  1 10:07:54 2019
40,13486904,ovf,Sat Jun  1 10:07:55 2019
41,13485450,ovf,Sat Jun  1 10:07:56 2019
42,13472368,ovf,Sat Jun  1 10:07:57 2019
43,13474184,ovf,Sat Jun  1 10:07:58 2019
44,13472368,ovf,Sat Jun  1 10:07:59 2019
45,13472006,ovf,Sat Jun  1 10:08:00 2019
46,13472732,ovf,Sat Jun  1 10:08:01 2019
47,13472368,ovf,Sat Jun  1 10:08:02 2019
48,13472368,ovf,Sat Jun  1 10:08:03 2019
49,13471280,ovf,Sat Jun  1 10:08:04 2019
50,13471280,ovf,Sat Jun  1 10:08:05 2019
51,13472732,ovf,Sat Jun  1 10:08:06 2019
52,13483994,ovf,Sat Jun  1 10:08:07 2019
53,13483994,ovf,Sat Jun  1 10:08:08 2019
54,13485086,ovf,Sat Jun  1 10:08:09 2019
55,13484358,ovf,Sat Jun  1 10:08:10 2019
56,13483994,ovf,Sat Jun  1 10:08:11 2019
57,13483994,ovf,Sat Jun  1 10:08:12 2019
58,13483268,ovf,Sat Jun  1 10:08:13 2019
59,13484722,ovf,Sat Jun  1 10:08:14 2019
60,13484358,ovf,Sat Jun  1 10:08:15 2019
61,13483994,ovf,Sat Jun  1 10:08:16 2019
62,13471280,ovf,Sat Jun  1 10:08:17 2019
63,13471280,ovf,Sat Jun  1 10:08:18 2019
64,13471280,ovf,Sat Jun  1 10:08:19 2019
65,13470916,ovf,Sat Jun  1 10:08:20 2019
66,13470190,ovf,Sat Jun  1 10:08:21 2019
67,13470916,ovf,Sat Jun  1 10:08:22 2019
68,13471280,ovf,Sat Jun  1 10:08:23 2019
69,13470916,ovf,Sat Jun  1 10:08:24 2019
70,13471280,ovf,Sat Jun  1 10:08:25 2019
71,13471280,ovf,Sat Jun  1 10:08:26 2019
72,13483268,ovf,Sat Jun  1 10:08:27 2019
73,13483268,ovf,Sat Jun  1 10:08:28 2019
74,13482176,ovf,Sat Jun  1 10:08:29 2019
75,13482904,ovf,Sat Jun  1 10:08:30 2019
76,13483630,ovf,Sat Jun  1 10:08:31 2019
77,13482540,ovf,Sat Jun  1 10:08:32 2019
78,13482540,ovf,Sat Jun  1 10:08:33 2019
79,13482904,ovf,Sat Jun  1 10:08:34 2019
80,13481814,ovf,Sat Jun  1 10:08:35 2019
81,13481450,ovf,Sat Jun  1 10:08:36 2019
82,13468376,ovf,Sat Jun  1 10:08:37 2019
83,13468740,ovf,Sat Jun  1 10:08:38 2019
84,13469102,ovf,Sat Jun  1 10:08:39 2019
85,13469102,ovf,Sat Jun  1 10:08:40 2019
86,13468376,ovf,Sat Jun  1 10:08:41 2019
87,13468014,ovf,Sat Jun  1 10:08:42 2019
88,13468740,ovf,Sat Jun  1 10:08:43 2019
89,13468014,ovf,Sat Jun  1 10:08:44 2019
90,13466926,ovf,Sat Jun  1 10:08:45 2019
