Iniciando,Sat Sep 28 15:46:40 2019
"ovf,ovf,ovf,//",X,Accel,Y,Accel,Z,Accel,X,Gyro,Y,Gyro,Z,",",Sat Sep 28 15:46:42 2019
"ovf,ovf,ovf,//",X,Accel,Y,Accel,Z,Accel,X,Gyro,Y,Gyro,Z,",",Sat Sep 28 15:46:43 2019
"ovf,ovf,ovf,0.74,0.06,0.00",",",Sat Sep 28 15:47:45 2019
"ovf,ovf,ovf,0.74,0.06,0.00",",",Sat Sep 28 15:47:46 2019
"ovf,ovf,ovf,0.73,0.06,0.00",",",Sat Sep 28 15:47:47 2019
"ovf,ovf,ovf,0.73,0.06,0.00",",",Sat Sep 28 15:47:48 2019
"ovf,ovf,ovf,0.71,0.06,0.01",",",Sat Sep 28 15:47:49 2019
"ovf,ovf,ovf,0.71,0.06,0.01",",",Sat Sep 28 15:47:50 2019
"ovf,ovf,ovf,0.70,0.06,0.03",",",Sat Sep 28 15:47:51 2019
"ovf,ovf,ovf,0.70,0.06,0.03",",",Sat Sep 28 15:47:52 2019
"ovf,ovf,ovf,0.69,0.06,0.02",",",Sat Sep 28 15:47:53 2019
"ovf,ovf,ovf,0.69,0.06,0.02",",",Sat Sep 28 15:47:54 2019
"ovf,ovf,ovf,0.69,0.07,0.00",",",Sat Sep 28 15:47:55 2019
"ovf,ovf,ovf,0.69,0.07,0.00",",",Sat Sep 28 15:47:56 2019
"ovf,ovf,ovf,0.68,0.06,-0.01",",",Sat Sep 28 15:47:57 2019
"ovf,ovf,ovf,0.68,0.06,-0.01",",",Sat Sep 28 15:47:58 2019
"ovf,ovf,ovf,0.67,0.06,0.01",",",Sat Sep 28 15:48:00 2019
"ovf,ovf,ovf,0.67,0.06,0.01",",",Sat Sep 28 15:48:01 2019
"ovf,ovf,ovf,0.66,0.06,0.01",",",Sat Sep 28 15:48:02 2019
"ovf,ovf,ovf,0.66,0.06,0.01",",",Sat Sep 28 15:48:03 2019
"ovf,ovf,ovf,0.66,0.07,0.01",",",Sat Sep 28 15:48:04 2019
"ovf,ovf,ovf,0.66,0.07,0.01",",",Sat Sep 28 15:48:05 2019
"ovf,ovf,ovf,0.64,0.07,0.01",",",Sat Sep 28 15:48:06 2019
"ovf,ovf,ovf,0.64,0.07,0.01",",",Sat Sep 28 15:48:07 2019
"ovf,ovf,ovf,0.64,0.08,0.00",",",Sat Sep 28 15:48:08 2019
"ovf,ovf,ovf,0.64,0.08,0.00",",",Sat Sep 28 15:48:09 2019
"ovf,ovf,ovf,0.63,0.08,0.00",",",Sat Sep 28 15:48:10 2019
