19715310,12545162,12619888,-0.11,0.03,-0.04	,	Sat Sep 28 15:54:28 2019
19716088,12545162,12619888,-0.13,0.03,-0.05	,	Sat Sep 28 15:54:30 2019
19716864,12545792,12619888,-0.13,0.03,-0.05	,	Sat Sep 28 15:54:31 2019
19717644,12546422,12620526,-0.14,0.02,-0.04	,	Sat Sep 28 15:54:32 2019
19717644,12545478,12620208,-0.14,0.02,-0.04	,	Sat Sep 28 15:54:33 2019
19716864,12545162,12619888,-0.15,0.03,-0.06	,	Sat Sep 28 15:54:34 2019
19716864,12543904,12619252,-0.15,0.03,-0.06	,	Sat Sep 28 15:54:35 2019
19718420,12543904,12619888,-0.16,0.02,-0.06	,	Sat Sep 28 15:54:36 2019
19716088,12542016,12617978,-0.16,0.02,-0.06	,	Sat Sep 28 15:54:37 2019
19718420,12542960,12619252,-0.17,0.03,-0.06	,	Sat Sep 28 15:54:38 2019
19717644,12542330,12618614,-0.17,0.03,-0.06	,	Sat Sep 28 15:54:39 2019
19717644,12540758,12617660,-0.18,0.03,-0.05	,	Sat Sep 28 15:54:40 2019
19727756,12551776,12621482,-0.18,0.03,-0.05	,	Sat Sep 28 15:54:41 2019
19726978,12555244,12622756,-0.21,0.02,-0.05	,	Sat Sep 28 15:54:42 2019
19725422,12555558,12620844,-0.21,0.02,-0.05	,	Sat Sep 28 15:54:43 2019
19720754,12550516,12617342,-0.23,0.02,-0.04	,	Sat Sep 28 15:54:44 2019
19719198,12542644,12618296,-0.23,0.02,-0.04	,	Sat Sep 28 15:54:45 2019
19718420,12541702,12617660,-0.24,0.02,-0.04	,	Sat Sep 28 15:54:46 2019
19718420,12541386,12617342,-0.24,0.02,-0.04	,	Sat Sep 28 15:54:48 2019
19716864,12540758,12616704,-0.27,0.02,-0.06	,	Sat Sep 28 15:54:49 2019
19716088,12539500,12616386,-0.27,0.02,-0.06	,	Sat Sep 28 15:54:50 2019
19718420,12539500,12617978,-0.26,0.02,-0.06	,	Sat Sep 28 15:54:51 2019
19716864,12538870,12615750,-0.26,0.02,-0.06	,	Sat Sep 28 15:54:52 2019
19717644,12538242,12615432,-0.25,0.03,-0.06	,	Sat Sep 28 15:54:53 2019
19716864,12535412,12615112,-0.25,0.03,-0.06	,	Sat Sep 28 15:54:54 2019
19717644,12533842,12615112,-0.24,0.02,-0.04	,	Sat Sep 28 15:54:55 2019
19717644,12530700,12612568,-0.24,0.02,-0.04	,	Sat Sep 28 15:54:56 2019
19717644,12528502,12610976,-0.25,0.01,-0.05	,	Sat Sep 28 15:54:57 2019
19716088,12525050,12608750,-0.25,0.01,-0.05	,	Sat Sep 28 15:54:58 2019
19717644,12525992,12608750,-0.27,0.02,-0.05	,	Sat Sep 28 15:54:59 2019
19717644,12526932,12608432,-0.27,0.02,-0.05	,	Sat Sep 28 15:55:00 2019
19715310,12528502,12608432,-0.28,0.02,-0.08	,	Sat Sep 28 15:55:01 2019
19712200,12531956,12611294,-0.28,0.02,-0.08	,	Sat Sep 28 15:55:02 2019
19712980,12530072,12608750,-0.30,0.02,-0.08	,	Sat Sep 28 15:55:03 2019
19715310,12527874,12608432,-0.30,0.02,-0.08	,	Sat Sep 28 15:55:04 2019
19715310,12527560,12608114,-0.31,0.01,-0.05	,	Sat Sep 28 15:55:06 2019
19717644,12531642,12610976,-0.31,0.01,-0.05	,	Sat Sep 28 15:55:07 2019
19720754,12532584,12615112,-0.33,0.01,-0.06	,	Sat Sep 28 15:55:08 2019
19723088,12531956,12617978,-0.33,0.01,-0.06	,	Sat Sep 28 15:55:09 2019
19719976,12532584,12611612,-0.35,0.02,-0.05	,	Sat Sep 28 15:55:10 2019
19721532,12534470,12612568,-0.35,0.02,-0.05	,	Sat Sep 28 15:55:11 2019
