39074	68376	73720	000416-20:11:11	0.0798
39062	68356	73698	000416-20:11:12	0.0798
39676	69430	74858	000416-20:11:13	0.0798
39062	68352	73696	000416-20:11:15	0.0798
39064	68356	73698	000416-20:11:16	0.0798
39066	68362	73706	000416-20:11:17	0.0798
39064	68358	73700	000416-20:11:18	0.0798
39068	68362	73706	000416-20:11:19	0.0798
39058	68346	73690	000416-20:11:20	0.0798
39064	68356	73698	000416-20:11:21	0.0798
39062	68354	73698	000416-20:11:22	0.0798
39064	68358	73702	000416-20:11:23	0.0798
39066	68360	73704	000416-20:11:24	0.0798
39374	68902	74286	000416-20:11:25	0.0798
39064	68356	73700	000416-20:11:26	0.0798
39066	68360	73704	000416-20:11:27	0.0798
39066	68362	73704	000416-20:11:28	0.0798
39068	68364	73706	000416-20:11:29	0.0798
39070	68366	73708	000416-20:11:30	0.0798
39068	68364	73706	000416-20:11:31	0.0798
39062	68354	73694	000416-20:11:33	0.0798
39068	68364	73706	000416-20:11:34	0.0798
39064	68358	73698	000416-20:11:35	0.0798
39066	68360	73700	000416-20:11:36	0.0798
39064	68358	73698	000416-20:11:37	0.0798
39064	68356	73696	000416-20:11:38	0.0798
39474	69076	74470	000416-20:11:39	0.0798
39376	68904	74286	000416-20:11:40	0.0798
39058	68348	73686	000416-20:11:41	0.0798
39056	68344	73680	000416-20:11:42	0.0798
39054	68342	73678	000416-20:11:43	0.0798
39054	68342	73678	000416-20:11:44	0.0798
39056	68344	73680	000416-20:11:45	0.0798
39058	68348	73682	000416-20:11:46	0.0798
39056	68344	73680	000416-20:11:47	0.0798
39054	68340	73678	000416-20:11:48	0.0798
39056	68344	73680	000416-20:11:49	0.0798
39052	68336	73670	000416-20:11:51	0.0798
39052	68336	73670	000416-20:11:52	0.0798
39054	68340	73674	000416-20:11:53	0.0798
39056	68344	73678	000416-20:11:54	0.0798
39670	69420	74840	000416-20:11:55	0.0798
39370	68894	74272	000416-20:11:56	0.0798
39056	68342	73676	000416-20:11:57	0.0798
39058	68348	73680	000416-20:11:58	0.0798
39052	68336	73668	000416-20:11:59	0.0798
39048	68332	73664	000416-20:12:00	0.0798
39052	68336	73668	000416-20:12:01	0.0798
39050	68330	73664	000416-20:12:02	0.0798
39056	68342	73676	000416-20:12:03	0.0798
40730	68732	74360	000416-20:12:35	0.0702
40704	68688	74312	000416-20:12:36	0.0702
40702	68684	74306	000416-20:12:37	0.0702
41174	69482	75170	000416-20:12:38	0.0702
40702	68684	74308	000416-20:12:39	0.0702
40708	68696	74320	000416-20:12:40	0.0702
40704	68690	74312	000416-20:12:41	0.0702
40700	68684	74308	000416-20:12:42	0.0702
40700	68682	74308	000416-20:12:43	0.0702
41026	69236	74904	000416-20:12:44	0.0702
40706	68696	74320	000416-20:12:46	0.0702
40710	68700	74326	000416-20:12:47	0.0702
40708	68698	74322	000416-20:12:48	0.0702
40708	68696	74320	000416-20:12:49	0.0702
40708	68696	74320	000416-20:12:50	0.0702
40710	68704	74330	000416-20:12:51	0.0702
40706	68698	74322	000416-20:12:52	0.0702
40706	68698	74322	000416-20:12:53	0.0702
41354	69794	75508	000416-20:12:54	0.0702
40710	68704	74328	000416-20:12:55	0.0702
40708	68704	74332	000416-20:12:56	0.0702
40708	68704	74332	000416-20:12:57	0.0702
40714	68714	74344	000416-20:12:58	0.0702
40708	68706	74336	000416-20:12:59	0.0702
41036	69260	74934	000416-20:13:00	0.0702
40704	68698	74326	000416-20:13:01	0.0702
40702	68694	74320	000416-20:13:02	0.0702
40706	68704	74332	000416-20:13:04	0.0702
40704	68698	74328	000416-20:13:05	0.0702
40704	68700	74328	000416-20:13:06	0.0702
40700	68690	74320	000416-20:13:07	0.0702
40706	68706	74336	000416-20:13:08	0.0702
40700	68698	74326	000416-20:13:09	0.0702
40704	68706	74334	000416-20:13:10	0.0702
40704	68704	74334	000416-20:13:11	0.0702
40704	68704	74336	000416-20:13:12	0.0702
40700	68700	74330	000416-20:13:13	0.0702
40708	68712	74344	000416-20:13:14	0.0702
40700	68698	74330	000416-20:13:15	0.0702
41032	69260	74938	000416-20:13:16	0.0702
40712	68718	74350	000416-20:13:17	0.0702
41174	69500	75198	000416-20:13:18	0.0702
40700	68700	74332	000416-20:13:19	0.0702
40704	68708	74340	000416-20:13:21	0.0702
40702	68704	74338	000416-20:13:22	0.0702
40706	68714	74350	000416-20:13:23	0.0702
40704	68708	74342	000416-20:13:24	0.0702
40706	68712	74346	000416-20:13:25	0.0702
40704	68710	74344	000416-20:13:26	0.0702
40698	68700	74334	000416-20:13:27	0.0702
42536	69138	75092	000416-20:14:07	0.0605
42516	69108	75058	000416-20:14:09	0.0605
42520	69114	75064	000416-20:14:10	0.0605
42862	69670	75670	000416-20:14:11	0.0605
42522	69118	75068	000416-20:14:12	0.0605
42522	69120	75074	000416-20:14:13	0.0605
42526	69126	75080	000416-20:14:14	0.0605
42526	69126	75080	000416-20:14:15	0.0605
42526	69126	75080	000416-20:14:16	0.0605
42526	69126	75080	000416-20:14:17	0.0605
42522	69120	75072	000416-20:14:18	0.0605
42524	69122	75074	000416-20:14:19	0.0605
42526	69124	75076	000416-20:14:20	0.0605
42532	69134	75088	000416-20:14:21	0.0605
42528	69130	75084	000416-20:14:22	0.0605
43014	69920	75942	000416-20:14:23	0.0605
42534	69136	75090	000416-20:14:24	0.0605
42526	69124	75074	000416-20:14:26	0.0605
42332	68810	74736	000416-20:14:27	0.0605
42518	69110	75064	000416-20:14:28	0.0605
42518	69112	75066	000416-20:14:29	0.0605
42518	69112	75064	000416-20:14:30	0.0605
42514	69104	75056	000416-20:14:31	0.0605
42510	69098	75046	000416-20:14:32	0.0605
42514	69102	75052	000416-20:14:33	0.0605
42516	69106	75058	000416-20:14:34	0.0605
42520	69114	75066	000416-20:14:35	0.0605
42520	69114	75066	000416-20:14:36	0.0605
42516	69106	75056	000416-20:14:37	0.0605
42516	69108	75060	000416-20:14:38	0.0605
