39270	55312	75410	000324-23:16:28	0.0803
39246	55278	75362	000324-23:16:29	0.0803
39248	55278	75362	000324-23:16:30	0.0803
39246	55276	75358	000324-23:16:31	0.0803
39250	55278	75356	000324-23:16:32	0.0803
39246	55276	75358	000324-23:16:33	0.0803
39252	55280	75364	000324-23:16:34	0.0803
39248	55274	75360	000324-23:16:35	0.0803
39546	55696	75936	000324-23:16:36	0.0803
39256	55292	75388	000324-23:16:38	0.0803
39256	55292	75388	000324-23:16:39	0.0803
39260	55296	75394	000324-23:16:40	0.0803
39258	55296	75394	000324-23:16:41	0.0803
39258	55294	75390	000324-23:16:42	0.0803
39252	55288	75384	000324-23:16:43	0.0803
39254	55290	75386	000324-23:16:44	0.0803
39252	55288	75382	000324-23:16:45	0.0803
39928	56242	76682	000324-23:16:46	0.0803
39260	55296	75394	000324-23:16:47	0.0803
39256	55294	75392	000324-23:16:48	0.0803
39258	55296	75394	000324-23:16:49	0.0803
39254	55292	75386	000324-23:16:50	0.0803
39552	55714	75964	000324-23:16:51	0.0803
39246	55284	75374	000324-23:16:52	0.0803
39244	55284	75378	000324-23:16:53	0.0803
39246	55288	75384	000324-23:16:54	0.0803
39250	55294	75390	000324-23:16:55	0.0803
39238	55276	75370	000324-23:16:56	0.0803
39236	55278	75370	000324-23:16:57	0.0803
39238	55278	75368	000324-23:16:59	0.0803
39242	55282	75374	000324-23:17:00	0.0803
39246	55288	75386	000324-23:17:01	0.0803
39660	55870	76180	000324-23:17:02	0.0803
39244	55284	75380	000324-23:17:03	0.0803
39240	55280	75374	000324-23:17:04	0.0803
39242	55284	75380	000324-23:17:05	0.0803
39244	55286	75382	000324-23:17:06	0.0803
39544	55710	75962	000324-23:17:07	0.0803
39240	55282	75376	000324-23:17:08	0.0803
39244	55286	75380	000324-23:17:09	0.0803
39242	55286	75382	000324-23:17:10	0.0803
39240	55286	75384	000324-23:17:11	0.0803
39242	55290	75388	000324-23:17:12	0.0803
39246	55294	75396	000324-23:17:13	0.0803
39242	55288	75386	000324-23:17:14	0.0803
39238	55284	75382	000324-23:17:15	0.0803
39238	55286	75382	000324-23:17:16	0.0803
39230	55276	75368	000324-23:17:17	0.0803
39240	55290	75386	000324-23:17:18	0.0803
39234	55284	75376	000324-23:17:20	0.0803
40882	55580	76254	000324-23:22:27	0.0708
40858	55548	76212	000324-23:22:28	0.0708
40866	55562	76240	000324-23:22:29	0.0708
40868	55562	76246	000324-23:22:30	0.0708
40864	55558	76242	000324-23:22:31	0.0708
40862	55554	76238	000324-23:22:32	0.0708
41182	55990	76838	000324-23:22:33	0.0708
40858	55554	76238	000324-23:22:34	0.0708
40862	55556	76248	000324-23:22:35	0.0708
40854	55548	76238	000324-23:22:36	0.0708
40858	55554	76246	000324-23:22:37	0.0708
40854	55546	76230	000324-23:22:38	0.0708
40852	55542	76228	000324-23:22:39	0.0708
40854	55548	76238	000324-23:22:40	0.0708
40852	55544	76234	000324-23:22:41	0.0708
40860	55554	76250	000324-23:22:42	0.0708
40856	55554	76254	000324-23:22:43	0.0708
40856	55554	76258	000324-23:22:44	0.0708
40864	55564	76278	000324-23:22:46	0.0708
40860	55560	76268	000324-23:22:47	0.0708
40862	55560	76272	000324-23:22:48	0.0708
41180	55992	76866	000324-23:22:49	0.0708
40856	55556	76268	000324-23:22:50	0.0708
40856	55556	76270	000324-23:22:51	0.0708
40858	55556	76272	000324-23:22:52	0.0708
41510	56444	77490	000324-23:22:53	0.0708
40854	55552	76266	000324-23:22:54	0.0708
40860	55562	76280	000324-23:22:55	0.0708
40858	55558	76278	000324-23:22:56	0.0708
40856	55556	76276	000324-23:22:57	0.0708
40850	55550	76266	000324-23:22:58	0.0708
40856	55556	76278	000324-23:22:59	0.0708
40854	55556	76284	000324-23:23:00	0.0708
40858	55560	76292	000324-23:23:01	0.0708
40854	55554	76284	000324-23:23:02	0.0708
41930	57018	78298	000324-23:23:03	0.0708
41288	56146	77100	000324-23:23:04	0.0708
40850	55552	76282	000324-23:23:06	0.0708
40856	55558	76292	000324-23:23:07	0.0708
40854	55556	76296	000324-23:23:08	0.0708
40854	55558	76302	000324-23:23:09	0.0708
40862	55570	76320	000324-23:23:10	0.0708
40858	55562	76308	000324-23:23:11	0.0708
40856	55562	76310	000324-23:23:12	0.0708
40860	55566	76318	000324-23:23:13	0.0708
40858	55564	76318	000324-23:23:14	0.0708
40854	55558	76306	000324-23:23:15	0.0708
40864	55574	76340	000324-23:23:16	0.0708
40860	55570	76336	000324-23:23:17	0.0708
40868	55578	76350	000324-23:23:18	0.0708
42980	55944	77390	000324-23:27:28	0.0597
42948	55904	77334	000324-23:27:29	0.0597
42954	55912	77346	000324-23:27:30	0.0597
42954	55912	77350	000324-23:27:31	0.0597
42960	55920	77364	000324-23:27:33	0.0597
42958	55918	77362	000324-23:27:34	0.0597
42960	55922	77364	000324-23:27:35	0.0597
42960	55924	77368	000324-23:27:36	0.0597
42956	55918	77360	000324-23:27:37	0.0597
43680	56860	78664	000324-23:27:38	0.0597
42958	55922	77368	000324-23:27:39	0.0597
42960	55926	77372	000324-23:27:40	0.0597
42958	55924	77370	000324-23:27:41	0.0597
44036	57326	79304	000324-23:27:42	0.0597
42956	55920	77360	000324-23:27:43	0.0597
42958	55926	77366	000324-23:27:44	0.0597
42960	55926	77368	000324-23:27:45	0.0597
42966	55934	77382	000324-23:27:46	0.0597
42962	55930	77378	000324-23:27:47	0.0597
43414	56522	78204	000324-23:27:48	0.0597
42956	55926	77374	000324-23:27:49	0.0597
42962	55934	77386	000324-23:27:50	0.0597
42960	55932	77384	000324-23:27:51	0.0597
42964	55938	77398	000324-23:27:53	0.0597
42964	55938	77398	000324-23:27:54	0.0597
42960	55934	77392	000324-23:27:55	0.0597
42958	55932	77390	000324-23:27:56	0.0597
42960	55934	77392	000324-23:27:57	0.0597
43296	56372	78000	000324-23:27:58	0.0597
42960	55936	77392	000324-23:27:59	0.0597
42966	55944	77402	000324-23:28:00	0.0597
42972	55954	77414	000324-23:28:01	0.0597
42966	55944	77402	000324-23:28:02	0.0597
42964	55940	77392	000324-23:28:03	0.0597
42972	55952	77418	000324-23:28:04	0.0597
42970	55952	77418	000324-23:28:05	0.0597
42968	55950	77416	000324-23:28:06	0.0597
42966	55948	77416	000324-23:28:07	0.0597
42974	55960	77436	000324-23:28:08	0.0597
42968	55954	77422	000324-23:28:09	0.0597
42966	55948	77416	000324-23:28:10	0.0597
42966	55952	77418	000324-23:28:11	0.0597
42968	55952	77422	000324-23:28:13	0.0597
45076	58700	81222	000324-23:28:14	0.0597
42960	55944	77406	000324-23:28:15	0.0597
42964	55948	77412	000324-23:28:16	0.0597
42964	55952	77414	000324-23:28:17	0.0597
42956	55940	77402	000324-23:28:18	0.0597
43634	56824	78620	000324-23:28:19	0.0597
42956	55940	77400	000324-23:28:20	0.0597
44882	56184	77950	000324-23:29:25	0.0505
44870	56170	77928	000324-23:29:26	0.0505
44876	56176	77936	000324-23:29:27	0.0505
44872	56174	77928	000324-23:29:28	0.0505
44872	56174	77926	000324-23:29:29	0.0505
44868	56170	77922	000324-23:29:30	0.0505
44872	56174	77930	000324-23:29:31	0.0505
44874	56178	77934	000324-23:29:32	0.0505
44872	56178	77932	000324-23:29:33	0.0505
44872	56180	77932	000324-23:29:34	0.0505
