38278,0,56784,000413-17:17:45,0.082
38274,0,56780,000413-17:17:46,0.082
38276,0,56784,000413-17:17:47,0.082
38276,0,56784,000413-17:17:48,0.082
38276,0,56784,000413-17:17:49,0.082
38278,0,56788,000413-17:17:50,0.082
38276,0,56784,000413-17:17:51,0.082
38276,0,56786,000413-17:17:52,0.082
38270,0,56778,000413-17:17:53,0.082
38894,0,57704,000413-17:17:55,0.082
38276,0,56788,000413-17:17:56,0.082
38274,0,56786,000413-17:17:57,0.082
38274,0,56786,000413-17:17:58,0.082
38276,0,56792,000413-17:17:59,0.082
38278,0,56796,000413-17:18:00,0.082
38518,0,57152,000413-17:18:01,0.082
38280,0,56798,000413-17:18:02,0.082
38286,0,56808,000413-17:18:03,0.082
38288,0,56810,000413-17:18:04,0.082
38292,0,56816,000413-17:18:05,0.082
38740,0,57484,000413-17:18:06,0.082
38292,0,56818,000413-17:18:07,0.082
38292,0,56816,000413-17:18:08,0.082
38292,0,56818,000413-17:18:09,0.082
38290,0,56816,000413-17:18:10,0.082
38288,0,56818,000413-17:18:11,0.082
38288,0,56818,000413-17:18:12,0.082
38290,0,56820,000413-17:18:13,0.082
38286,0,56818,000413-17:18:14,0.082
38288,0,56826,000413-17:18:15,0.082
38290,0,56832,000413-17:18:16,0.082
38894,0,57726,000413-17:18:17,0.082
38288,0,56828,000413-17:18:18,0.082
38284,0,56820,000413-17:18:19,0.082
38284,0,56822,000413-17:18:20,0.082
38286,0,56826,000413-17:18:21,0.082
38290,0,56828,000413-17:18:22,0.082
38288,0,56822,000413-17:18:24,0.082
38286,0,56820,000413-17:18:25,0.082
38286,0,56820,000413-17:18:26,0.082
38286,0,56818,000413-17:18:27,0.082
38284,0,56818,000413-17:18:28,0.082
38286,0,56820,000413-17:18:29,0.082
38288,0,56820,000413-17:18:30,0.082
38286,0,56822,000413-17:18:31,0.082
38286,0,56822,000413-17:18:32,0.082
38292,0,56830,000413-17:18:33,0.082
38944,0,57800,000413-17:18:34,0.082
38530,0,57188,000413-17:18:35,0.082
38288,0,56826,000413-17:18:36,0.082
40218,0,57142,000413-17:19:27,0.0699
40218,0,57142,000413-17:19:28,0.0699
40212,0,57136,000413-17:19:29,0.0699
40212,0,57134,000413-17:19:30,0.0699
40212,0,57134,000413-17:19:31,0.0699
40216,0,57140,000413-17:19:32,0.0699
40216,0,57138,000413-17:19:33,0.0699
40214,0,57138,000413-17:19:34,0.0699
40216,0,57144,000413-17:19:35,0.0699
40216,0,57146,000413-17:19:36,0.0699
40216,0,57146,000413-17:19:37,0.0699
40218,0,57148,000413-17:19:39,0.0699
40472,0,57512,000413-17:19:40,0.0699
40220,0,57150,000413-17:19:41,0.0699
40224,0,57158,000413-17:19:42,0.0699
40222,0,57156,000413-17:19:43,0.0699
40222,0,57156,000413-17:19:44,0.0699
40222,0,57156,000413-17:19:45,0.0699
40870,0,58080,000413-17:19:46,0.0699
40220,0,57152,000413-17:19:47,0.0699
40220,0,57154,000413-17:19:48,0.0699
40220,0,57154,000413-17:19:49,0.0699
40220,0,57158,000413-17:19:50,0.0699
40222,0,57158,000413-17:19:51,0.0699
40224,0,57164,000413-17:19:52,0.0699
40228,0,57170,000413-17:19:53,0.0699
40224,0,57166,000413-17:19:54,0.0699
40224,0,57166,000413-17:19:55,0.0699
40224,0,57162,000413-17:19:56,0.0699
40548,0,57626,000413-17:19:57,0.0699
40222,0,57160,000413-17:19:58,0.0699
40220,0,57158,000413-17:19:59,0.0699
40220,0,57160,000413-17:20:00,0.0699
40218,0,57156,000413-17:20:01,0.0699
40218,0,57156,000413-17:20:02,0.0699
40220,0,57156,000413-17:20:03,0.0699
40218,0,57154,000413-17:20:04,0.0699
40216,0,57150,000413-17:20:05,0.0699
40218,0,57152,000413-17:20:06,0.0699
40220,0,57158,000413-17:20:08,0.0699
40222,0,57162,000413-17:20:09,0.0699
40220,0,57160,000413-17:20:10,0.0699
40222,0,57162,000413-17:20:11,0.0699
40222,0,57160,000413-17:20:12,0.0699
40224,0,57164,000413-17:20:13,0.0699
40484,0,57536,000413-17:20:14,0.0699
40226,0,57170,000413-17:20:15,0.0699
40222,0,57164,000413-17:20:16,0.0699
40226,0,57170,000413-17:20:17,0.0699
40224,0,57164,000413-17:20:18,0.0699
42000,0,57444,000413-17:23:09,0.0602
42262,0,57804,000413-17:23:10,0.0602
41994,0,57436,000413-17:23:11,0.0602
41994,0,57438,000413-17:23:12,0.0602
41988,0,57430,000413-17:23:13,0.0602
41990,0,57430,000413-17:23:14,0.0602
41992,0,57430,000413-17:23:15,0.0602
41992,0,57430,000413-17:23:16,0.0602
41990,0,57430,000413-17:23:17,0.0602
41986,0,57424,000413-17:23:18,0.0602
41988,0,57426,000413-17:23:19,0.0602
41994,0,57438,000413-17:23:20,0.0602
41994,0,57438,000413-17:23:21,0.0602
41994,0,57440,000413-17:23:22,0.0602
41996,0,57442,000413-17:23:23,0.0602
41996,0,57442,000413-17:23:24,0.0602
