102598	172930	116538	Sat Jan 25 18:47:35 2020
51494	86804	58484	Sat Jan 25 18:47:36 2020
51460	86750	58444	Sat Jan 25 18:47:37 2020
51462	86700	58400	Sat Jan 25 18:47:38 2020
51460	86720	58414	Sat Jan 25 18:47:39 2020
51454	86768	58448	Sat Jan 25 18:47:40 2020
51462	86678	58448	Sat Jan 25 18:47:41 2020
51462	86686	58446	Sat Jan 25 18:47:42 2020
51456	86692	58464	Sat Jan 25 18:47:43 2020
51458	86732	58410	Sat Jan 25 18:47:44 2020
51464	86750	58410	Sat Jan 25 18:47:45 2020
51458	86710	58406	Sat Jan 25 18:47:46 2020
51458	86750	58440	Sat Jan 25 18:47:47 2020
51464	86738	58418	Sat Jan 25 18:47:48 2020
51460	86766	58430	Sat Jan 25 18:47:49 2020
51458	86772	58450	Sat Jan 25 18:47:50 2020
51458	86706	58408	Sat Jan 25 18:47:51 2020
51458	86732	58430	Sat Jan 25 18:47:52 2020
51446	86658	58394	Sat Jan 25 18:47:53 2020
51456	86712	58444	Sat Jan 25 18:47:54 2020
51448	86738	58424	Sat Jan 25 18:47:55 2020
51450	86706	58420	Sat Jan 25 18:47:56 2020
51444	86710	58426	Sat Jan 25 18:47:57 2020
51444	86708	58396	Sat Jan 25 18:47:58 2020
51442	86706	58438	Sat Jan 25 18:47:59 2020
51440	86660	58422	Sat Jan 25 18:48:00 2020
51436	86720	58412	Sat Jan 25 18:48:01 2020
51436	86680	58388	Sat Jan 25 18:48:02 2020
51434	86672	58364	Sat Jan 25 18:48:03 2020
51436	86722	58432	Sat Jan 25 18:48:04 2020
51434	86644	58416	Sat Jan 25 18:48:05 2020
51436	86704	58416	Sat Jan 25 18:48:06 2020
51434	86726	58424	Sat Jan 25 18:48:07 2020
51436	86712	58422	Sat Jan 25 18:48:08 2020
51428	86734	58434	Sat Jan 25 18:48:09 2020
51422	86624	58378	Sat Jan 25 18:48:10 2020
51422	86700	58416	Sat Jan 25 18:48:11 2020
51428	86712	58422	Sat Jan 25 18:48:12 2020
51424	86750	58382	Sat Jan 25 18:48:13 2020
51426	86704	58384	Sat Jan 25 18:48:14 2020
51418	86682	58366	Sat Jan 25 18:48:15 2020
51418	86660	58396	Sat Jan 25 18:48:16 2020
51410	86668	58396	Sat Jan 25 18:48:17 2020
51412	86716	58424	Sat Jan 25 18:48:18 2020
51408	86686	58432	Sat Jan 25 18:48:19 2020
51408	86722	58386	Sat Jan 25 18:48:20 2020
51408	86676	58350	Sat Jan 25 18:48:21 2020
51416	86722	58382	Sat Jan 25 18:48:22 2020
51410	86682	58408	Sat Jan 25 18:48:23 2020
51412	86644	58416	Sat Jan 25 18:48:24 2020
51398	86680	58378	Sat Jan 25 18:48:25 2020
